Country,Inflation,,,
Macau,0.76,,,
China,1.6,,,
Hong Kong,1.8,,,
Oman,2.06,,,
Taiwan,2.35,,,
Saudi Arabia,2.9,,,
Maldives,2.94,,,
Kuwait,3.2,,,
Brunei,3.5,,,
Cambodia,3.6,,,
Japan,3.8,,,
Bahrain,3.9,,,
Malaysia,4,,,
Palestine,4.3,,,
Iraq,4.5,,,
Vietnam,4.55,,,
Bhutan,4.89,,,
Jordan,5,,,
South Korea,5,,,
Tajikistan,5.2,,,
Israel,5.3,,,
Qatar,5.3,,,
Indonesia,5.51,,,
Thailand,5.55,,,
India,5.88,,,
East Timor,6.7,,,
Singapore,6.7,,,
United Arab Emirates,6.77,,,
Philippines,8,,,
Nepal,8.08,,,
Bangladesh,8.71,,,
Armenia,8.8,,,
Georgia,9.8,,,
Afghanistan,10.2,,,
Uzbekistan,12.3,,,
Azerbaijan,13.8,,,
Mongolia,14.5,,,
Kyrgyzstan,15,,,
Turkmenistan,17.5,,,
Myanmar,19.55,,,
Kazakhstan,19.6,,,
Pakistan,24.5,,,
Laos,38.46,,,
Iran,52.2,,,
Sri Lanka,57.2,,,
Syria,139,,,
Lebanon,142,,,
,,,,
,,,,
,,,,