Country,Year,US,GDP,Personnel,,,,,,,,,,,
USA,2000,481079.6,3.112242147,1454800,,,,,,,,,,,
USA,2001,484986.8,3.123809803,1420700,,,,,,,,,,,
USA,2002,544547.5,3.447618099,1467000,,,,,,,,,,,
USA,2003,619785.0,3.827161045,1480000,,,,,,,,,,,
USA,2004,675516.2,4.016312736,1473000,,,,,,,,,,,
USA,2005,706629.7,4.090034876,1546000,,,,,,,,,,,
USA,2006,716812.0,4.041627237,1498000,,,,,,,,,,,
USA,2007,735939.3,4.079655081,1555000,,,,,,,,,,,
USA,2008,789474.3,4.463827356,1540000,,,,,,,,,,,
USA,2009,851597.6,4.88559968,1563996,,,,,,,,,,,
USA,2010,875941.8,4.922641677,1569417,,,,,,,,,,,
USA,2011,865569.7,4.840173995,1520100,,,,,,,,,,,
USA,2012,817491.8,4.477401219,1492200,,,,,,,,,,,
USA,2013,754611.3,4.046678879,1433150,,,,,,,,,,,
USA,2014,708193.6,3.69589465,1381250,,,,,,,,,,,
USA,2015,692111.5,3.477845166,1347300,,,,,,,,,,,
USA,2016,689987.7,3.413464208,1348400,,,,,,,,,,,
USA,2017,682878.4,3.309387532,1359000,,,,,,,,,,,
USA,2018,703431.3,3.311158561,1379800,,,,,,,,,,,
USA,2019,743402.9,3.42619487,1388000,,,,,,,,,,,
China,2000,42200.0,1.830343718,3910000,,,,,,,,,,,
China,2001,50037.8,1.976185991,3810000,,,,,,,,,,,
China,2002,57470.7,2.049686062,3770000,,,,,,,,,,,
China,2003,62197.2,1.983406274,3750000,,,,,,,,,,,
China,2004,68508.5,1.927764976,3755000,,,,,,,,,,,
China,2005,75231.2,1.85334244,3755000,,,,,,,,,,,
China,2006,86596.0,1.85464884,3605000,,,,,,,,,,,
China,2007,95191.6,1.739812859,2885000,,,,,,,,,,,
China,2008,104150.1,1.712334361,2885000,,,,,,,,,,,
China,2009,126379.8,1.886133152,2945000,,,,,,,,,,,
China,2010,132604.4,1.73947515,2945000,,,,,,,,,,,
China,2011,142352.9,1.665576053,2945000,,,,,,,,,,,
China,2012,156979.0,1.693368163,2993000,,,,,,,,,,,
China,2013,169742.5,1.702855096,2993000,,,,,,,,,,,
China,2014,183291.4,1.728689068,2993000,,,,,,,,,,,
China,2015,197680.5,1.750717767,2843000,,,,,,,,,,,
China,2016,209060.1,1.770695719,2695000,,,,,,,,,,,
China,2017,221917.6,1.74645507,2695000,,,,,,,,,,,
China,2018,234916.7,1.739533683,2695000,,,,,,,,,,,
China,2019,246361.2,1.727827863,2535000,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,