Country,1-5 m,5-10 m,10-50 m,50-100 m,100-500 m,500+ m,,
United States,19466541.00,3231692.00,1640742.00,103669.00,35740.00,1726.00,,
China,5581697.00,366432.00,209559.00,20013.00,11411.00,1282.00,,
Japan,3165519.00,140317.00,54908.00,3373.00,1411.00,88.00,,
United Kingdom,2668703.00,125108.00,51358.00,2787.00,1278.00,110.00,,
France,2589495.00,139852.00,62351.00,3237.00,1314.00,85.00,,
Germany,2410992.00,171431.00,90909.00,6052.00,3354.00,318.00,,
Canada,2092416.00,127941.00,65417.00,3472.00,1912.00,123.00,,
Australia,2006783.00,112068.00,53385.00,2947.00,1576.00,109.00,,
Italy,1294761.00,77428.00,36670.00,2574.00,1253.00,103.00,,
Korea,1183711.00,70014.00,32306.00,2450.00,1319.00,117.00,,
Switzerland,1019655.00,85758.00,43353.00,2115.00,987.00,92.00,,
Netherlands,1075071.00,49686.00,22384.00,1100.00,471.00,28.00,,
Spain,1041701.00,60516.00,27689.00,1509.00,666.00,51.00,,
Taiwan,787232.00,53381.00,25718.00,1874.00,912.00,93.00,,
India,695685.00,58644.00,37103.00,3024.00,1750.00,210.00,,
Hong Kong,564792.00,40421.00,23591.00,1790.00,1139.00,127.00,,
Sweden,539163.00,43055.00,25035.00,1866.00,1019.00,76.00,,
Belgium,562186.00,20107.00,6281.00,271.00,107.00,16.00,,
Denmark,354025.00,20034.00,9883.00,571.00,288.00,27.00,,
Russia,299687.00,29361.00,19878.00,2134.00,1488.00,253.00,,
New Zealand,317475.00,21560.00,8000.00,316.00,115.00,12.00,,
Mexico,291091.00,17596.00,8756.00,557.00,271.00,27.00,,
Saudi Arabia,280585.00,23530.00,8891.00,208.00,64.00,3.00,,
Singapore,263895.00,21028.00,12110.00,974.00,570.00,73.00,,
Austria,247902.00,14971.00,7336.00,497.00,275.00,33.00,,
Brazil,232969.00,17847.00,12884.00,1238.00,749.00,95.00,,
Norway,211648.00,14595.00,8966.00,494.00,298.00,22.00,,
Israel,178591.00,14918.00,8866.00,652.00,529.00,67.00,,
Indonesia,166916.00,13985.00,8973.00,740.00,432.00,57.00,,
United Arab Emirates,156195.00,12313.00,7553.00,435.00,247.00,37.00,,
Ireland,161421.00,9497.00,4515.00,247.00,96.00,15.00,,
Portugal,150208.00,6347.00,2345.00,57.00,41.00,8.00,,
Iran,131139.00,10676.00,4559.00,126.00,97.00,41.00,,
Finland,90370.00,6488.00,3477.00,292.00,132.00,27.00,,
Poland,91039.00,5836.00,2980.00,166.00,92.00,16.00,,
Egypt,77936.00,5899.00,3022.00,220.00,108.00,21.00,,
South Africa,78584.00,4837.00,2507.00,151.00,86.00,10.00,,
Thailand,71377.00,5971.00,4382.00,446.00,249.00,41.00,,
Greece,73355.00,5620.00,2288.00,89.00,30.00,1.00,,
Philippines,68063.00,6055.00,3907.00,370.00,197.00,34.00,,
Turkey,63163.00,5889.00,3379.00,366.00,136.00,34.00,,
Czechia,59386.00,5068.00,3040.00,276.00,142.00,30.00,,
Chile,58884.00,4084.00,2289.00,177.00,92.00,20.00,,
Ukraine,44523.00,4456.00,3069.00,322.00,153.00,44.00,,
Vietnam,43652.00,3218.00,1846.00,113.00,75.00,13.00,,
Nigeria,36955.00,2664.00,1539.00,76.00,65.00,18.00,,
Colombia,34982.00,2445.00,1394.00,54.00,51.00,17.00,,
Romania,33720.00,2436.00,480.00,28.00,21.00,5.00,,
Bangladesh,28931.00,1125.00,400.00,39.00,43.00,21.00,,
Pakistan,18532.00,885.00,348.00,38.00,45.00,25.00,,