x,y
2020,23509112.4859016
2021,25514667.1525193
2022,26995184.572743
2023,28326230.0
2024,29596430.0
2025,30847740.0
2026,32090550.0
2027,33328160.0
2028,34558960.0
2029,35776690.0
2030,36976710.0
2031,38155280.0
2032,39309470.0
2033,40435560.0
2034,41529450.0
2035,42587530.0
2036,43607620.0
2037,44588650.0
2038,45531140.0
2039,46436270.0
2040,47305810.0
2041,48142100.0
2042,48947850.0
2043,49726360.0
2044,50481210.0
2045,51216270.0
2046,51936040.0
2047,52645640.0
2048,53350570.0
2049,54055810.0
2050,54765280.0
2051,55481590.0
2052,56205480.0
2053,56936110.0
2054,57671560.0
2055,58410030.0
2056,59150730.0
2057,59894050.0
2058,60640270.0
2059,61389070.0
2060,62139790.0